,trail_id,description,length_elev_type,tags,coords
10,/trail/canada/nova-scotia/high-head-trail--2,"High Head Trail  is a 5 mile lightly trafficked out and back trail located near Whites Lake, Nova Scotia, Canada that features a river and is rated as moderate. The trail is primarily used for hiking, walking, and fishing and is best used from April until October. Dogs are also able to use this trail.","['5.0 mi', '269 ft', 'Out & back']","['Kid friendly', 'Fishing', 'Hiking', 'Walking', 'Beach', 'Dog friendly', 'Forest', 'River', 'Views', 'Wildlife', 'Rocky']","{'latitude': '44.49006', 'longitude': '-63.81183'}"
11,/trail/canada/nova-scotia/acadian-trail,"Acadian Trail is a 5.6 mile moderately trafficked loop trail located near Cheticamp, Nova Scotia, Canada that features a waterfall and is rated as moderate. The trail is primarily used for hiking, walking, and nature trips and is best used from May until October. Dogs are also able to use this trail but must be kept on leash.","['5.6 mi', '1,351 ft', 'Loop']","['Dogs on leash', 'Hiking', 'Nature trips', 'Walking', 'Forest', 'Views', 'Waterfall']","{'latitude': '46.64611', 'longitude': '-60.94985'}"
12,/trail/canada/nova-scotia/polly-cove-trail,"Polly Cove Trail is a 2.4 mile loop trail located near Peggys Cove, Nova Scotia, Canada that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and bird watching. Dogs are also able to use this trail but must be kept on leash.","['2.4 mi', '242 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Beach', 'Views', 'Wildflowers', 'Bugs', 'Muddy', 'Rocky']","{'latitude': '44.4941', 'longitude': '-63.89256'}"
13,/trail/canada/nova-scotia/pennant-point-trail,"Pennant Point Trail is a 6.5 mile moderately trafficked loop trail located near East Pennant, Nova Scotia, Canada that features a waterfall and is rated as moderate. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['6.5 mi', '416 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Nature trips', 'Road biking', 'Rock climbing', 'Snowshoeing', 'Running', 'Beach', 'Forest', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Muddy', 'Over grown', 'Rocky', 'Scramble']","{'latitude': '44.45956', 'longitude': '-63.62161'}"
14,/trail/canada/nova-scotia/skyline-trail,"Skyline Trail is a 4.9 mile heavily trafficked out and back trail located near Cheticamp, Nova Scotia, Canada that features beautiful wild flowers and is good for all skill levels. The trail is primarily used for hiking, running, nature trips, and bird watching and is best used from May until October.","['4.9 mi', '633 ft', 'Out & back']","['Kid friendly', 'Hiking', 'Nature trips', 'Bird watching', 'Running', 'Forest', 'Views', 'Wildflowers', 'Wildlife', 'No dogs']","{'latitude': '46.73808', 'longitude': '-60.88108'}"
15,/trail/canada/nova-scotia/castle-rock-trail,"Castle Rock Trail is a 5.1 mile lightly trafficked loop trail located near East River, Nova Scotia, Canada that features beautiful wild flowers and is good for all skill levels. The trail is primarily used for hiking, mountain biking, and snowshoeing and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['5.1 mi', '387 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Mountain biking', 'Snowshoeing', 'Views', 'Wildflowers', 'Scramble']","{'latitude': '44.58488', 'longitude': '-64.16613'}"
16,/trail/canada/nova-scotia/headland-and-spry-bay-trails-loop,"Headland and Spry Bay Trails Loop is a 4.5 mile moderately trafficked loop trail located near Spry Bay, Nova Scotia, Canada that features beautiful wild flowers and is rated as moderate. The trail is primarily used for hiking, walking, and nature trips. Dogs are also able to use this trail.","['4.5 mi', '223 ft', 'Loop']","['Hiking', 'Nature trips', 'Walking', 'Beach', 'Dog friendly', 'Forest', 'Views', 'Wildflowers', 'Wildlife', 'Rocky']","{'latitude': '44.80765', 'longitude': '-62.56148'}"
17,/trail/canada/nova-scotia/salt-marsh-trail,"Salt Marsh Trail is a 12.1 mile moderately trafficked out and back trail located near Lawrencetown, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['12.1 mi', '252 ft', 'Out & back']","['Dogs on leash', 'Wheelchair friendly', 'Kid friendly', 'Stroller friendly', 'Cross-country skiing', 'Hiking', 'Mountain biking', 'Snowshoeing', 'Walking', 'Bird watching', 'Running', 'Lake', 'Views', 'Wildflowers', 'Wildlife', 'No shade']","{'latitude': '44.65743', 'longitude': '-63.44827'}"
18,/trail/canada/nova-scotia/birch-shore-arm-and-cable-road-loop,"Point Pleasant Park Loop is a 2.1 mile heavily trafficked loop trail located near Halifax, Nova Scotia, Canada that features a great forest setting and is good for all skill levels. The trail is primarily used for walking, running, and road biking. Dogs are also able to use this trail but must be kept on leash.","['2.1 mi', '167 ft', 'Loop']","['Dogs on leash', 'Wheelchair friendly', 'Kid friendly', 'Stroller friendly', 'Road biking', 'Walking', 'Running', 'Forest', 'Partially paved', 'Views']","{'latitude': '44.62542', 'longitude': '-63.57401'}"
19,/trail/canada/nova-scotia/codline-point,"Codline Point is a 3.5 mile moderately trafficked out and back trail located near Duncans Cove, Nova Scotia, Canada that offers the chance to see wildlife and is rated as moderate. The trail is primarily used for hiking. Dogs are also able to use this trail but must be kept on leash.","['3.5 mi', '541 ft', 'Out & back']","['Dogs on leash', 'Hiking', 'Views', 'Wildlife']","{'latitude': '44.49917', 'longitude': '-63.52822'}"
20,/trail/canada/nova-scotia/polletts-cove,"Pollett’s Cove is a 8.2 mile out and back trail located near Red River, Nova Scotia, Canada that features a river and is rated as difficult. The trail is primarily used for hiking, camping, fishing, and backpacking and is best used from May until October. Dogs are also able to use this trail.","['8.2 mi', '2,723 ft', 'Out & back']","['Backpacking', 'Camping', 'Fishing', 'Hiking', 'Paddle sports', 'Beach', 'Dog friendly', 'Forest', 'River', 'Views', 'Wildlife', 'Blowdown', 'Over grown', 'Rocky']","{'latitude': '46.8732', 'longitude': '-60.74259'}"
21,/trail/canada/nova-scotia/johnson-river-falls-trail,"Johnson River Falls Trail is a 2.8 mile lightly trafficked out and back trail located near Fall River, Nova Scotia, Canada that features a waterfall and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['2.8 mi', '229 ft', 'Out & back']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Mountain biking', 'Nature trips', 'Snowshoeing', 'Bird watching', 'Forest', 'River', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Over grown']","{'latitude': '44.83611', 'longitude': '-63.57595'}"
22,/trail/canada/nova-scotia/white-point-lookout,"White Point Lookout is a 1.5 mile moderately trafficked out and back trail located near White Point, Nova Scotia, Canada that features a great forest setting and is good for all skill levels. The trail is primarily used for hiking and walking and is best used from May until October.","['1.5 mi', '154 ft', 'Out & back']","['Kid friendly', 'Hiking', 'Walking', 'Beach', 'Forest', 'Views']","{'latitude': '46.87538', 'longitude': '-60.3527'}"
23,/trail/canada/nova-scotia/long-lake-pipeline-loop,"Long Lake Pipeline Loop  is a 2.3 mile lightly trafficked loop trail located near Halifax, Nova Scotia, Canada that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.","['2.3 mi', '216 ft', 'Loop']","['Dogs on leash', 'Hiking', 'Mountain biking', 'Nature trips', 'Walking', 'Bird watching', 'Forest', 'Lake', 'River', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Bugs', 'Muddy', 'Over grown', 'Rocky', 'Off trail']","{'latitude': '44.63221', 'longitude': '-63.65833'}"
24,/trail/canada/nova-scotia/long-lake-park-reserve-loop-trail,"Long Lake Park Reserve Loop Trail is a 2.7 mile moderately trafficked loop trail located near Halifax, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail is primarily used for hiking, walking, nature trips, and bird watching and is best used from April until October. Dogs are also able to use this trail.","['2.7 mi', '209 ft', 'Loop']","['Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Dog friendly', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Wildlife', 'Bugs', 'Muddy']","{'latitude': '44.62188', 'longitude': '-63.62631'}"
25,/trail/canada/nova-scotia/pitcher-plant-trail-to-hemlock-cathedral-trail-loop,"Pitcher Plant Trail to Hemlock Cathedral Trail Loop is a 5.8 mile loop trail located near Nine Mile River, Nova Scotia, Canada that features a great forest setting and is rated as moderate. The trail offers a number of activity options. Dogs are also able to use this trail but must be kept on leash.","['5.8 mi', '744 ft', 'Loop']","['Dogs on leash', 'Hiking', 'Nature trips', 'Snowshoeing', 'Walking', 'Running', 'Forest', 'Views', 'Bridge out', 'Snow']","{'latitude': '45.00968', 'longitude': '-63.55561'}"
26,/trail/canada/nova-scotia/hobsons-lake-trail,"Hobsons Lake Trail is a 2.7 mile moderately trafficked loop trail located near Timberlea, Nova Scotia, Canada that features a lake and is rated as moderate. The trail is primarily used for hiking, walking, nature trips, and bird watching and is accessible year-round.","['2.7 mi', '308 ft', 'Loop']","['Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Forest', 'Lake', 'Views', 'Muddy']","{'latitude': '44.69515', 'longitude': '-63.70482'}"
27,/trail/canada/nova-scotia/gypsum-mine-lake,"Gypsum Mine Lake is a 1.6 mile out and back trail located near Bellemarche, Nova Scotia, Canada that features a river and is good for all skill levels. The trail is primarily used for hiking, walking, and nature trips.","['1.6 mi', '157 ft', 'Out & back']","['Hiking', 'Nature trips', 'Walking', 'Lake', 'River', 'Views', 'Wildlife']","{'latitude': '46.63036', 'longitude': '-60.98087'}"
28,/trail/canada/nova-scotia/shubie-park-trail,"Shubie Park Trail is a 1.2 mile moderately trafficked loop trail located near Dartmouth, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['1.2 mi', '137 ft', 'Loop']","['Dogs on leash', 'Wheelchair friendly', 'Kid friendly', 'Stroller friendly', 'Camping', 'Hiking', 'Nature trips', 'Snowshoeing', 'Walking', 'Bird watching', 'Running', 'Beach', 'Forest', 'Lake', 'River', 'Views', 'Wildflowers', 'Wildlife', 'Historic site']","{'latitude': '44.70244', 'longitude': '-63.55425'}"
29,/trail/canada/nova-scotia/otter-marsh-cliifs-smelt-brook-lake-and-dauphinee-mountain,"Otter Marsh Cliffs, Smelt Brook Lake and Dauphinee Mountain is a 5.8 mile lightly trafficked loop trail located near Boutiliers Point, Nova Scotia, Canada that features a lake and is rated as moderate. The trail is primarily used for hiking and nature trips.","['5.8 mi', '748 ft', 'Loop']","['Hiking', 'Nature trips', 'Forest', 'Lake', 'Views', 'Wildlife', 'Over grown', 'Snow']","{'latitude': '44.66789', 'longitude': '-63.95133'}"
30,/trail/canada/nova-scotia/baille-ard-nature-trail,"Baille Ard Nature Trail is a 1.7 mile out and back trail located near Sydney, Nova Scotia, Canada that features a great forest setting and is good for all skill levels. The trail is primarily used for hiking, walking, and nature trips.","['1.7 mi', '160 ft', 'Out & back']","['Hiking', 'Nature trips', 'Walking', 'Forest', 'Views']","{'latitude': '46.12941', 'longitude': '-60.15431'}"
31,/trail/canada/nova-scotia/kearney-run-trail,"Kearney Run Trail is a 1.2 mile moderately trafficked out and back trail located near Bedford, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail is primarily used for hiking, walking, and bird watching. Dogs are also able to use this trail but must be kept on leash.","['1.2 mi', '98 ft', 'Out & back']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Walking', 'Bird watching', 'Forest', 'Lake', 'Partially paved', 'River', 'Views', 'Wildlife']","{'latitude': '44.70263', 'longitude': '-63.70219'}"
32,/trail/canada/nova-scotia/shubenacadie-river,"Shubenacadie River is a 0.6 mile lightly trafficked loop trail located near Enfield, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['0.6 mi', '55 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Nature trips', 'Snowshoeing', 'Walking', 'Bird watching', 'Running', 'Forest', 'Lake', 'Partially paved', 'River', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '44.942', 'longitude': '-63.56124'}"
33,/trail/canada/nova-scotia/cape-perce,"Cape Perce is a 4.8 mile moderately trafficked out and back trail located near Donkin, Nova Scotia, Canada that offers the chance to see wildlife and is rated as moderate. The trail is primarily used for hiking and bird watching and is accessible year-round.","['4.8 mi', '213 ft', 'Out & back']","['Hiking', 'Bird watching', 'Beach', 'Views', 'Wildlife']","{'latitude': '46.17772', 'longitude': '-59.84579'}"
34,/trail/canada/nova-scotia/beaver-mountain-provincial-park,"Beaver Mountain Loop is a 3.7 mile moderately trafficked loop trail located near Beaver Mountain, Nova Scotia, Canada that features beautiful wild flowers and is rated as moderate. The trail offers a number of activity options and is best used from May until October.","['3.7 mi', '508 ft', 'Loop']","['Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'Views', 'Wildflowers']","{'latitude': '45.56609', 'longitude': '-62.15642'}"
35,/trail/canada/nova-scotia/cape-st-lawrence-trail,"Cape St Lawrence Trail is a 6.6 mile out and back trail located near Meat Cove, Nova Scotia, Canada that offers the chance to see wildlife and is rated as moderate. The trail is primarily used for hiking, camping, and bird watching.","['6.6 mi', '1,689 ft', 'Out & back']","['Camping', 'Hiking', 'Bird watching', 'Beach', 'Views', 'Wildlife']","{'latitude': '47.02649', 'longitude': '-60.55917'}"
36,/trail/canada/nova-scotia/halifax-to-hubbards-bike,"Halifax to Hubbards via Chain of Lakes and St Margarets Bay Trail is a 32.6 mile point-to-point trail located near Halifax, Nova Scotia, Canada that features a lake and is rated as moderate. The trail is primarily used for hiking, running, and mountain biking.","['32.6 mi', '1,919 ft', 'Point to point']","['Hiking', 'Mountain biking', 'Running', 'Lake', 'Partially paved', 'Views']","{'latitude': '44.65889', 'longitude': '-63.62899'}"
37,/trail/canada/nova-scotia/bridgewater-centennial-trail,"Bridgewater Centennial Trail is a 5.3 mile lightly trafficked point-to-point trail located near Cookville, Nova Scotia, Canada that features a river and is good for all skill levels. The trail is primarily used for hiking, running, road biking, and mountain biking. Dogs are also able to use this trail but must be kept on leash.","['5.3 mi', '288 ft', 'Point to point']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Mountain biking', 'Road biking', 'Running', 'Forest', 'River', 'Views', 'Wildlife']","{'latitude': '44.42199', 'longitude': '-64.55195'}"
38,/trail/canada/nova-scotia/west-porters-lake,"West Porter's Lake is a 2.2 mile moderately trafficked loop trail located near West Porters Lake, Nova Scotia, Canada that offers scenic views and is good for all skill levels. The trail is primarily used for walking, nature trips, and bird watching and is best used from April until September.","['2.2 mi', '55 ft', 'Loop']","['Nature trips', 'Walking', 'Bird watching', 'Lake', 'Views', 'Rocky']","{'latitude': '44.69129', 'longitude': '-63.3025'}"
39,/trail/canada/nova-scotia/beech-grove,"Beech Grove is a 1.4 mile moderately trafficked loop trail located near Maitland Bridge, Nova Scotia, Canada that features a river and is good for all skill levels. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.","['1.4 mi', '160 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Forest', 'River', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '44.4382', 'longitude': '-65.20931'}"
40,/trail/canada/nova-scotia/freshwater-lake,"Beach Road Trail  is a 1.9 mile lightly trafficked out and back trail located near Ingonish Beach, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail offers a number of activity options.","['1.9 mi', '177 ft', 'Out & back']","['Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Bird watching', 'Running', 'Beach', 'Lake', 'Views', 'Wildlife']","{'latitude': '46.65067', 'longitude': '-60.39226'}"
41,/trail/canada/nova-scotia/gully-lake-wilderness-loop,"Gully Lake Wilderness Loop is a 11.3 mile lightly trafficked loop trail located near Dalhousie, Nova Scotia, Canada that features a lake and is rated as moderate. The trail is primarily used for backpacking.","['11.3 mi', '1,338 ft', 'Loop']","['Backpacking', 'Forest', 'Lake', 'River', 'Wildlife']","{'latitude': '45.55113', 'longitude': '-63.00449'}"
42,/trail/canada/nova-scotia/channel-lake-loop,"Channel Lake Loop is a 13.5 mile moderately trafficked loop trail located near Annapolis, Nova Scotia, Canada that features a lake and is rated as difficult. The trail offers a number of activity options and is best used from April until October. Dogs are also able to use this trail but must be kept on leash.","['13.5 mi', '1,030 ft', 'Loop']","['Dogs on leash', 'Hiking', 'Nature trips', 'Bird watching', 'Running', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '44.44235', 'longitude': '-65.25342'}"
43,/trail/canada/nova-scotia/annandale-falls,"Annandale Falls is a 1 mile moderately trafficked out and back trail located near Wentworth, Nova Scotia, Canada that features a waterfall and is rated as moderate. The trail is primarily used for hiking, walking, and snowshoeing and is accessible year-round.","['1.0 mi', '160 ft', 'Out & back']","['Hiking', 'Snowshoeing', 'Walking', 'Views', 'Waterfall', 'Wildlife']","{'latitude': '45.62502', 'longitude': '-63.49759'}"
44,/trail/canada/nova-scotia/woodland-trails,"Woodland Trails Loop is a 0.8 mile lightly trafficked loop trail located near Wolfville, Nova Scotia, Canada that features a great forest setting and is good for all skill levels. The trail is primarily used for hiking, walking, trail running, and nature trips and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['0.8 mi', '121 ft', 'Loop']","['Dogs on leash', 'Kid friendly', 'Hiking', 'Nature trips', 'Walking', 'Running', 'Forest']","{'latitude': '45.08288', 'longitude': '-64.36653'}"
45,/trail/canada/nova-scotia/margaretville-falls,"Margaretsville Falls is a 0.8 mile moderately trafficked out and back trail located near Margaretsville, Nova Scotia, Canada that features a waterfall and is good for all skill levels. The trail is primarily used for hiking, walking, running, and nature trips.","['0.8 mi', '39 ft', 'Out & back']","['Hiking', 'Nature trips', 'Walking', 'Running', 'Beach', 'Waterfall']","{'latitude': '45.04833', 'longitude': '-65.0646'}"
46,/trail/canada/nova-scotia/susies-and-quarry-lake-loops,"Susie's and Quarry Lake Loops is a 4.2 mile moderately trafficked loop trail located near Halifax, Nova Scotia, Canada that features a lake and is rated as moderate. The trail offers a number of activity options.","['4.2 mi', '416 ft', 'Loop']","['Hiking', 'Nature trips', 'Snowshoeing', 'Bird watching', 'Running', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '44.65681', 'longitude': '-63.67658'}"
47,/trail/canada/nova-scotia/wentworth-fall,"Wentworth Falls is a 0.4 mile heavily trafficked out and back trail located near Wentworth, Nova Scotia, Canada that features a waterfall and is good for all skill levels. The trail is primarily used for hiking and walking and is accessible year-round. Dogs are also able to use this trail.","['0.4 mi', '59 ft', 'Out & back']","['Kid friendly', 'Hiking', 'Walking', 'Dog friendly', 'Views', 'Waterfall', 'Wildlife']","{'latitude': '45.58848', 'longitude': '-63.5609'}"
48,/trail/canada/nova-scotia/dollar-lake-trail,"Dollar Lake Shoreline Trail is a 1.3 mile moderately trafficked out and back trail located near Meaghers Grant, Nova Scotia, Canada that features a lake and is rated as moderate. The trail offers a number of activity options and is best used from March until October. Dogs are also able to use this trail but must be kept on leash.","['1.3 mi', '141 ft', 'Out & back']","['Dogs on leash', 'Kid friendly', 'Camping', 'Hiking', 'Nature trips', 'Paddle sports', 'Road biking', 'Walking', 'Bird watching', 'Running', 'Beach', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Wildlife', 'Over grown', 'Rocky']","{'latitude': '44.93057', 'longitude': '-63.32243'}"
49,/trail/canada/nova-scotia/lawrencetown-beach-hill,"Lawrencetown Beach Hill is a 0.9 mile lightly trafficked out and back trail located near East Lawrencetown, Nova Scotia, Canada that features beautiful wild flowers and is good for all skill levels. The trail is primarily used for hiking and nature trips.","['0.9 mi', '72 ft', 'Out & back']","['Hiking', 'Nature trips', 'Beach', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '44.64442', 'longitude': '-63.32649'}"
50,/trail/canada/nova-scotia/pugwash-estuary-trail,"Pugwash Estuary Trail is a 1.9 mile lightly trafficked loop trail located near South Pugwash, Nova Scotia, Canada that features a river and is good for all skill levels. The trail is primarily used for hiking and bird watching. Dogs are also able to use this trail but must be kept on leash.","['1.9 mi', '82 ft', 'Loop']","['Dogs on leash', 'Hiking', 'Bird watching', 'Forest', 'River', 'Wildlife', 'Muddy']","{'latitude': '45.81438', 'longitude': '-63.66055'}"
51,/trail/canada/nova-scotia/blue-rocks-commons--2,"Blue Rocks Commons is a 1.8 mile lightly trafficked out and back trail located near Stonehurst South, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail offers a number of activity options and is accessible year-round. Dogs are also able to use this trail but must be kept on leash.","['1.8 mi', '72 ft', 'Out & back']","['Dogs on leash', 'Kid friendly', 'Backpacking', 'Hiking', 'Mountain biking', 'Walking', 'Running', 'Lake', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '44.36221', 'longitude': '-64.2333'}"
52,/trail/canada/nova-scotia/whycocomagh-mountain-trail,"Whycocomagh Mountain Trail is a 7.3 mile moderately trafficked loop trail located near Whycocomagh, Nova Scotia, Canada that features a great forest setting and is rated as moderate. The trail is primarily used for hiking and nature trips and is best used from June until October.","['7.3 mi', '1,154 ft', 'Loop']","['Hiking', 'Nature trips', 'Forest', 'Views', 'Rocky', 'Snow']","{'latitude': '45.97573', 'longitude': '-61.11907'}"
53,/trail/canada/nova-scotia/rum-runners-trail-halifax-to-lunenburg,"Rum Runners Trail: Halifax to Lunenburg is a 73.9 mile moderately trafficked point-to-point trail located near Halifax, Nova Scotia, Canada that features a lake and is good for all skill levels. The trail is primarily used for hiking, running, and mountain biking.","['73.9 mi', '4,176 ft', 'Point to point']","['Hiking', 'Mountain biking', 'Running', 'Beach', 'Forest', 'Lake', 'Views', 'Wildflowers', 'Wildlife']","{'latitude': '44.65889', 'longitude': '-63.62908'}"
